"group_code","group_name","fri_codes_included","ecological_guild","climate_zone","topographic_position","elevation_niche","moisture_regime","soil_substrate","shade_tolerance","successional_stage","inventory_importance","formatted_description"
"CR_RED_CEDAR","Eastern Redcedar","CR","Dry Limestone Outcrop / Old Field Conifer","Deciduous and Carolinian warm temperate climates","Dry limestone outcrops, abandoned pastures, sandy bluffs","Upland exposed crests and old fields","Xeric to dry-mesic","Shallow rocky limestone, alkaline dry sands","Intolerant","Pioneer species on dry limestone","Medium - Southern Ontario specialty softwood","Tree Group: Eastern Redcedar (FRI Codes: CR). Ecological Guild: Dry Limestone Outcrop / Old Field Conifer. Climate Niche: Thrives in Deciduous and Carolinian warm temperate climates. Topography & Elevation: Found in Dry limestone outcrops, abandoned pastures, sandy bluffs; Upland exposed crests and old fields. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Shallow rocky limestone, alkaline dry sands. Ecological Traits: Intolerant shade tolerance; Pioneer species on dry limestone."
"EXOTIC_OTHER_CONIFERS","Exotic & Minor Conifers","SN, SE, SS, PUN, SP, PS, PI, PC, PL, PM, PZ, PX, PF, PA, PN, FB, FG, FL, FM, FS, CW, CY, LE, LW, LS, HW, HM, TA, TE, OC","Minor, Introduced, Plantation, or Subalpine Conifers","Various temperate, subalpine, or introduced climates","Plantations, parks, mountain slopes, or specialized sites","Variable lowland to subalpine terrain","Xeric to hydric","Variable mineral and organic substrates","Variable","Pioneer to climax depending on species","Low - Grouped minor/exotic conifers of secondary inventory interest","Tree Group: Exotic & Minor Conifers (FRI Codes: SN, SE, SS, PUN, SP, PS, PI, PC, PL, PM, PZ, PX, PF, PA, PN, FB, FG, FL, FM, FS, CW, CY, LE, LW, LS, HW, HM, TA, TE, OC). Ecological Guild: Minor, Introduced, Plantation, or Subalpine Conifers. Climate Niche: Thrives in Various temperate, subalpine, or introduced climates. Topography & Elevation: Found in Plantations, parks, mountain slopes, or specialized sites; Variable lowland to subalpine terrain. Soil & Hydrology: Prefers Xeric to hydric moisture regimes and Variable mineral and organic substrates. Ecological Traits: Variable shade tolerance; Pioneer to climax depending on species."
"PO_ASPEN_GROUP","Aspens (Trembling & Largetooth)","PO, PL","Disturbed Upland Pioneer Hardwood","Boreal to temperate climates","Disturbed uplands, burn sites, logged areas, sand plains","Lowland flats to high upland ridges","Dry-mesic to mesic","Adaptable sandy loams, gravelly loams, shallow clays","Very intolerant","Pioneer clonal species after disturbance","High - Major commercial hardwood for OSB, pulp, and sawlogs","Tree Group: Aspens (Trembling & Largetooth) (FRI Codes: PO, PL). Ecological Guild: Disturbed Upland Pioneer Hardwood. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Disturbed uplands, burn sites, logged areas, sand plains; Lowland flats to high upland ridges. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Adaptable sandy loams, gravelly loams, shallow clays. Ecological Traits: Very intolerant shade tolerance; Pioneer clonal species after disturbance."
"PB_PD_POPLAR_COTTONWOOD","Lowland Poplars & Cottonwood","PB, PD, PX, PA, BP","Floodplain / Riparian Poplar","Boreal to Carolinian climates","River floodplains, sandbars, moist lowlands, stream banks","Lowland alluvial flats and active sandbars","Wet-mesic to hydric","Rich moist alluvial silt, clay, wet sand","Very intolerant","Early successional riparian species","Medium - Lowland poplar & cottonwood resource","Tree Group: Lowland Poplars & Cottonwood (FRI Codes: PB, PD, PX, PA, BP). Ecological Guild: Floodplain / Riparian Poplar. Climate Niche: Thrives in Boreal to Carolinian climates. Topography & Elevation: Found in River floodplains, sandbars, moist lowlands, stream banks; Lowland alluvial flats and active sandbars. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Rich moist alluvial silt, clay, wet sand. Ecological Traits: Very intolerant shade tolerance; Early successional riparian species."
"BW_WHITE_BIRCH","White / Paper Birch","BW, BT","Disturbed Upland Pioneer Birch","Boreal to temperate climates","Burned and logged uplands, rocky slopes, lake margins","Lowland flats to mountain ridges","Dry-mesic to mesic","Well-drained sandy loams, rocky acidic soils","Intolerant","Pioneer species after fire or clearcutting","High - Major commercial boreal hardwood species","Tree Group: White / Paper Birch (FRI Codes: BW, BT). Ecological Guild: Disturbed Upland Pioneer Birch. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Burned and logged uplands, rocky slopes, lake margins; Lowland flats to mountain ridges. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Well-drained sandy loams, rocky acidic soils. Ecological Traits: Intolerant shade tolerance; Pioneer species after fire or clearcutting."
"BY_YELLOW_BIRCH","Yellow Birch","BY, BL","Rich Moist Hardwood Forest Birch","Great Lakes-St. Lawrence temperate climates","Rich moist hardwood forests, cool ravines, north slopes","Mid-elevation moist uplands","Mesic to wet-mesic","Deep, moist, rich well-drained acidic loams","Intermediate to tolerant","Late-successional hardwood species","High - High-value commercial hardwood sawlog & veneer","Tree Group: Yellow Birch (FRI Codes: BY, BL). Ecological Guild: Rich Moist Hardwood Forest Birch. Climate Niche: Thrives in Great Lakes-St. Lawrence temperate climates. Topography & Elevation: Found in Rich moist hardwood forests, cool ravines, north slopes; Mid-elevation moist uplands. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Deep, moist, rich well-drained acidic loams. Ecological Traits: Intermediate to tolerant shade tolerance; Late-successional hardwood species."
"MH_HARD_MAPLE","Sugar Maple (Hard Maple)","MH","Upland Rich Hardwood Climax Maple","Great Lakes-St. Lawrence and Carolinian climates","Rich upland hardwood forests, rolling hills, fertile slopes","Mid-to-high upland slopes","Mesic","Deep, rich, moist, fertile loams and silt loams","Very tolerant","Late-successional climax species","High - Highest commercial hardwood sawlog, veneer & syrup value","Tree Group: Sugar Maple (Hard Maple) (FRI Codes: MH). Ecological Guild: Upland Rich Hardwood Climax Maple. Climate Niche: Thrives in Great Lakes-St. Lawrence and Carolinian climates. Topography & Elevation: Found in Rich upland hardwood forests, rolling hills, fertile slopes; Mid-to-high upland slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, rich, moist, fertile loams and silt loams. Ecological Traits: Very tolerant shade tolerance; Late-successional climax species."
"MS_AG_SOFT_MAPLE","Soft Maples (Red, Silver & Manitoba)","MS, AG, MB, MM, ST, MN, MP","Generalist / Riparian Soft Maple","Boreal to Carolinian temperate climates","Swamps, floodplains, rocky slopes, upland stands","Lowland swamps to dry ridges","Hydric to xeric (highly adaptable)","Adaptable organic peat, alluvial silt, loams","Intermediate to tolerant","Mid-successional generalist / riparian species","High - Widespread soft maple pulpwood & timber resource","Tree Group: Soft Maples (Red, Silver & Manitoba) (FRI Codes: MS, AG, MB, MM, ST, MN, MP). Ecological Guild: Generalist / Riparian Soft Maple. Climate Niche: Thrives in Boreal to Carolinian temperate climates. Topography & Elevation: Found in Swamps, floodplains, rocky slopes, upland stands; Lowland swamps to dry ridges. Soil & Hydrology: Prefers Hydric to xeric (highly adaptable) moisture regimes and Adaptable organic peat, alluvial silt, loams. Ecological Traits: Intermediate to tolerant shade tolerance; Mid-successional generalist / riparian species."
"BE_BEECH","American Beech","BE, BI","Rich Upland Climax Hardwood","Great Lakes-St. Lawrence and Carolinian climates","Rich upland hardwood forests, beech-maple ridges","Mid-elevation rolling slopes","Mesic","Deep, rich, well-drained fertile loams","Very tolerant","Late-successional climax species","High - Co-dominant climax species in southern/central Ontario","Tree Group: American Beech (FRI Codes: BE, BI). Ecological Guild: Rich Upland Climax Hardwood. Climate Niche: Thrives in Great Lakes-St. Lawrence and Carolinian climates. Topography & Elevation: Found in Rich upland hardwood forests, beech-maple ridges; Mid-elevation rolling slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, rich, well-drained fertile loams. Ecological Traits: Very tolerant shade tolerance; Late-successional climax species."
"OAK_GROUP","Oaks (Red, White, Bur & Black)","OR, OW, OB, OK, OP, OS, OC, OE, OX, OY, OL","Upland Ridge / Savanna Hardwood","Great Lakes-St. Lawrence and Carolinian climates","Dry to mesic upland ridges, sandy plains, floodplains, savannas","Upland crests, plateaus, and river terraces","Xeric to wet-mesic","Well-drained sandy loams, gravels, heavy clay plains","Intermediate to intolerant","Mid-to-late successional fire-adapted species","High - Premium commercial sawlog & wildlife habitat group","Tree Group: Oaks (Red, White, Bur & Black) (FRI Codes: OR, OW, OB, OK, OP, OS, OC, OE, OX, OY, OL). Ecological Guild: Upland Ridge / Savanna Hardwood. Climate Niche: Thrives in Great Lakes-St. Lawrence and Carolinian climates. Topography & Elevation: Found in Dry to mesic upland ridges, sandy plains, floodplains, savannas; Upland crests, plateaus, and river terraces. Soil & Hydrology: Prefers Xeric to wet-mesic moisture regimes and Well-drained sandy loams, gravels, heavy clay plains. Ecological Traits: Intermediate to intolerant shade tolerance; Mid-to-late successional fire-adapted species."
"ASH_GROUP","Ashes (Black, White & Green)","AB, AW, AX, AH, AM","Wetland & Rich Upland Ash","Boreal to Carolinian climates","Forested swamps, riverbanks, rich upland slopes","Lowland swamps to mid-slope uplands","Hydric to mesic","Organic muck, wet peat, fertile loams","Intolerant to intermediate","Mid-to-late successional species","High - Ecologically & commercially critical ash resource","Tree Group: Ashes (Black, White & Green) (FRI Codes: AB, AW, AX, AH, AM). Ecological Guild: Wetland & Rich Upland Ash. Climate Niche: Thrives in Boreal to Carolinian climates. Topography & Elevation: Found in Forested swamps, riverbanks, rich upland slopes; Lowland swamps to mid-slope uplands. Soil & Hydrology: Prefers Hydric to mesic moisture regimes and Organic muck, wet peat, fertile loams. Ecological Traits: Intolerant to intermediate shade tolerance; Mid-to-late successional species."
"ELM_GROUP","Elms (American, Rock & Slippery)","EA, ER, ES, EU, EX","Floodplain & Limestone Slope Elm","Great Lakes-St. Lawrence and Carolinian climates","River floodplains, bottomlands, rocky limestone ridges","Lowland stream flats to rocky limestone crests","Wet-mesic to mesic","Deep alluvial silts, heavy clays, calcareous loams","Intermediate","Mid-successional species","Medium - Common riparian & limestone hardwood group","Tree Group: Elms (American, Rock & Slippery) (FRI Codes: EA, ER, ES, EU, EX). Ecological Guild: Floodplain & Limestone Slope Elm. Climate Niche: Thrives in Great Lakes-St. Lawrence and Carolinian climates. Topography & Elevation: Found in River floodplains, bottomlands, rocky limestone ridges; Lowland stream flats to rocky limestone crests. Soil & Hydrology: Prefers Wet-mesic to mesic moisture regimes and Deep alluvial silts, heavy clays, calcareous loams. Ecological Traits: Intermediate shade tolerance; Mid-successional species."
"HICKORY_WALNUT_GROUP","Hickories & Walnuts","HB, HS, HC, HG, WB, BU","Rich Fertile Soil Hardwood","Southern Ontario and Carolinian climates","Rich alluvial bottomlands, well-drained slopes, fertile terraces","Lowland flats to mid-slopes","Dry-mesic to wet-mesic","Deep, rich, fertile, well-drained loams and heavy clays","Intolerant","Mid-to-late successional species","High - Premium specialty timber (Walnut & Hickory)","Tree Group: Hickories & Walnuts (FRI Codes: HB, HS, HC, HG, WB, BU). Ecological Guild: Rich Fertile Soil Hardwood. Climate Niche: Thrives in Southern Ontario and Carolinian climates. Topography & Elevation: Found in Rich alluvial bottomlands, well-drained slopes, fertile terraces; Lowland flats to mid-slopes. Soil & Hydrology: Prefers Dry-mesic to wet-mesic moisture regimes and Deep, rich, fertile, well-drained loams and heavy clays. Ecological Traits: Intolerant shade tolerance; Mid-to-late successional species."
"CHERRY_GROUP","Cherries & Plums","CB, CP, CV, CD, CH","Early-to-Mid Successional Gap Hardwood","Boreal to Carolinian climates","Forest gaps, fence rows, burned clearings, upland slopes","Upland plateaus and forest clearings","Dry-mesic to mesic","Deep fertile loams, sandy or rocky acidic loams","Intolerant","Pioneer to mid-successional species","Medium - Black Cherry sawlog & wildlife fruit trees","Tree Group: Cherries & Plums (FRI Codes: CB, CP, CV, CD, CH). Ecological Guild: Early-to-Mid Successional Gap Hardwood. Climate Niche: Thrives in Boreal to Carolinian climates. Topography & Elevation: Found in Forest gaps, fence rows, burned clearings, upland slopes; Upland plateaus and forest clearings. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Deep fertile loams, sandy or rocky acidic loams. Ecological Traits: Intolerant shade tolerance; Pioneer to mid-successional species."
"BA_BASSWOOD","Basswood / Linden","BA, BD","Rich Slopes / Calcareous Hardwood","Great Lakes-St. Lawrence and Carolinian climates","Rich hardwood forests, fertile lower slopes, river valleys","Lower-to-mid upland slopes","Mesic","Deep, rich, moist, calcareous silt loams","Intermediate to tolerant","Late-successional species","Medium - Commercial specialty hardwood","Tree Group: Basswood / Linden (FRI Codes: BA, BD). Ecological Guild: Rich Slopes / Calcareous Hardwood. Climate Niche: Thrives in Great Lakes-St. Lawrence and Carolinian climates. Topography & Elevation: Found in Rich hardwood forests, fertile lower slopes, river valleys; Lower-to-mid upland slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, rich, moist, calcareous silt loams. Ecological Traits: Intermediate to tolerant shade tolerance; Late-successional species."
"WILLOW_GROUP","Willows (Salix spp.)","SA, SBW, SF, SH, SK, SL, SM, SNW, SO","Wetland / Riparian Pioneer Shrub/Tree","Boreal to Carolinian climates","Active river sandbars, muddy banks, wetland borders, ditches","Lowland riparian stream corridors","Hydric to wet-mesic","Wet alluvial mud, silt, sand, peat","Very intolerant","Pioneer riparian shrub/tree","Low - Grouped non-commercial riparian willow group","Tree Group: Willows (Salix spp.) (FRI Codes: SA, SBW, SF, SH, SK, SL, SM, SNW, SO). Ecological Guild: Wetland / Riparian Pioneer Shrub/Tree. Climate Niche: Thrives in Boreal to Carolinian climates. Topography & Elevation: Found in Active river sandbars, muddy banks, wetland borders, ditches; Lowland riparian stream corridors. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Wet alluvial mud, silt, sand, peat. Ecological Traits: Very intolerant shade tolerance; Pioneer riparian shrub/tree."
"ALDER_GROUP","Alders (Alnus spp.)","AL, AGL, AR, AV","Lowland Wetland / Nitrogen-Fixing Shrub","Boreal to temperate climates","Stream banks, swamp margins, alder thickets, rocky slopes","Lowland wetland corridors","Hydric to wet-mesic","Wet organic peat, cold muck, alluvial silt","Intolerant","Nitrogen-fixing pioneer thicket shrub","Low - Grouped non-commercial wetland shrub group","Tree Group: Alders (Alnus spp.) (FRI Codes: AL, AGL, AR, AV). Ecological Guild: Lowland Wetland / Nitrogen-Fixing Shrub. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Stream banks, swamp margins, alder thickets, rocky slopes; Lowland wetland corridors. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Wet organic peat, cold muck, alluvial silt. Ecological Traits: Intolerant shade tolerance; Nitrogen-fixing pioneer thicket shrub."
"CAROLINIAN_MINOR_HARDWOODS","Carolinian Minor Hardwoods","SY, TU, HK, SAS, GYM, GLED, MAG, PT, NYS, CA","Southern Carolinian Specialty / Rare Hardwood","Carolinian warm temperate climates","Rich sheltered coves, floodplains, sand dunes, fertile terraces","Lowland coves, floodplains, and dune ridges","Xeric to hydric","Deep rich organic loams, alluvial silt, dry sand","Intolerant to intermediate","Early to climax Carolinian species","Low - Grouped rare/specialty Carolinian hardwood group","Tree Group: Carolinian Minor Hardwoods (FRI Codes: SY, TU, HK, SAS, GYM, GLED, MAG, PT, NYS, CA). Ecological Guild: Southern Carolinian Specialty / Rare Hardwood. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Rich sheltered coves, floodplains, sand dunes, fertile terraces; Lowland coves, floodplains, and dune ridges. Soil & Hydrology: Prefers Xeric to hydric moisture regimes and Deep rich organic loams, alluvial silt, dry sand. Ecological Traits: Intolerant to intermediate shade tolerance; Early to climax Carolinian species."
"UNDERSTORY_HARDWOODS_SHRUBS","Minor Understory Trees & Shrubs","IW, BLUE, HAM, RHO, ROB, RHA, RHF, SOR, SOU, SOE, EUG, AT, CRB, AP, APM, CORN, CORA, CORS, VIB, VIBL, CEPH","Forest Understory & Non-Commercial Shrub","Boreal to Carolinian climates","Understory of hardwood stands, forest edges, rocky ridges, thickets","Understory and forest margins","Dry-mesic to hydric","Deep organic loams, rocky limestone, acidic soils","Tolerant to intolerant","Understory climax to pioneer shrub","Low - Grouped understory & non-commercial shrub layer","Tree Group: Minor Understory Trees & Shrubs (FRI Codes: IW, BLUE, HAM, RHO, ROB, RHA, RHF, SOR, SOU, SOE, EUG, AT, CRB, AP, APM, CORN, CORA, CORS, VIB, VIBL, CEPH). Ecological Guild: Forest Understory & Non-Commercial Shrub. Climate Niche: Thrives in Boreal to Carolinian climates. Topography & Elevation: Found in Understory of hardwood stands, forest edges, rocky ridges, thickets; Understory and forest margins. Soil & Hydrology: Prefers Dry-mesic to wet-mesic moisture regimes and Deep organic loams, rocky limestone, acidic soils. Ecological Traits: Tolerant to intolerant shade tolerance; Understory climax to pioneer shrub."
"UNCLASSIFIED_OTHER","Unclassified & Other Species","OH, U","Unclassified / Generic Tree Layer","Unclassified","Unclassified site","Unclassified elevation","Unclassified","Unclassified substrate","Unclassified","Unclassified stage","Low - Catch-all class for unclassified pixels","Tree Group: Unclassified & Other Species (FRI Codes: OH, U). Ecological Guild: Unclassified / Generic Tree Layer. Climate Niche: Thrives in Unclassified. Topography & Elevation: Found in Unclassified site; Unclassified elevation. Soil & Hydrology: Prefers Unclassified moisture regimes and Unclassified substrate. Ecological Traits: Unclassified shade tolerance; Unclassified stage."
